User-ID;Text-ID;Frage;Antwort;richtige_Antwort
DisRating;26;What effect does starch have on dirt and sweat? ;It attracts dirt and sweat;It repels dirt and sweat
DisRating;89;When did the author resume the system of logic?;1838;1837
DisRating;94;What fate does the text predict for the subject?;Decline and decay;Destruction and regeneration
DisRating;141;Where is Baghdad situated in Iraq? ;Near the center ;Near the center 
DisRating;96;What dilemma is presented in the text? ;The role of religion in society;The absence of religious dominance.
DisRating;124;How many inhabitants did Tenochtitlan have when the Spaniards arrived in 1519?;100000;100000
DisRating;146;Why did the Spanish colonists name the city for the 'good winds'?;Because the winds brought them to the port ;Because the winds brought them to the port 
DisRating;43;Who is responsible for paying Council Tax in a rented property?;The tenant;The tenant
DisRating;25;What is leukemia? ;A type of cancer of the blood or bone marrow. ;A type of cancer of the blood or bone marrow. 
DisRating;21;What is the primary cause of left heart failure mentioned in the text?;Narrowing of blood vessels;Pooling of blood in the lungs
DisRating;83;How does the text suggest complex ideas can be well known?;Through definition;Through definition
DisRating;123;Where is the city located?;On the eastern shore of Manila Bay ;On the eastern shore of Manila Bay 
DisRating;27;What concept is illustrated by the interaction between bacteria and antibiotics?;Evolutionary arms race.;Evolutionary arms race.
DisRating;59;When was the review and accompanying management plans adopted?;23rd October 2007;23rd October 2007
DisRating;159;What happened to many people in the city? ;They were killed or sent to concentration camps and killed;They were killed or sent to concentration camps and killed
DisRating;108;What rendered inevitable the substitution of a different ideal of morality?;Technological advancements ;Changes in the general state of the species 
DisRating;108;What rendered inevitable the substitution of a different ideal of morality?;Technological advancements ;Changes in the general state of the species 
DisRating;54;When can workers from Making Space provide assistance? ;When the carer is not around.;When the carer is not around.
DisRating;60;What happens after receiving an application? ;Compliance check and then sent to the Police for checks;Compliance check and then sent to the Police for checks
DisRating;13;Why must lithium be stored in petroleum jelly? ;To protect it from moisture. ;To protect it from moisture. 
DisRating;116;How do we know the influence of the will?;Through experimentation ;Through consciousness 
DisRating;103;How did he consider Butler's argument? ;Incomplete ;Conclusive 
DisRating;119;What would have prevented Christianity from expanding according to the text?;Remaining an obscure sect of the Hebrews;Remaining an obscure sect of the Hebrews
DisRating;50;Under what circumstances should a child not go to school before or after an appointment?;If they are unwell;If they are unwell
DisRating;42;What must people making money from pretending to be letting agents join?;A property management association;An approved redress scheme.
DisRating;11;"What did Griffith identify as the ""transforming principle""? ";RNA;DNA
DisRating;79;What happens if there is no response after the further 28 days? ;Right to buy application is closed.;Right to buy application is closed.
DisRating;40;What does civil partnership allow same-sex couples to do? ;Obtain legal recognition of their relationship;Obtain legal recognition of their relationship
DisRating;145;What happened to many of Lisbon's residents?;They became rich ;They became rich 
DisRating;113;What doctrine is the text referring to as being properly understood?;Doctrine of perception ;Doctrine of circumstances 
DisRating;155;What is to the north of Lisbon's central commercial district?;The Cidade Alta (Upper City) ;The Cidade Baixa (Lower City
DisRating;62;What does the initiative mentioned aim to support? ;Economic growth;Workforce Diversity Strategy
DisRating;47;What payment options are available with 24/7 account access?;Direct Debit, online payment, and e-billing.;Direct Debit, online payment, and e-billing.
DisRating;62;What does the initiative mentioned aim to support? ;Economic growth;Workforce Diversity Strategy
DisRating;72;Why were the maps created?;To show areas of Access Land in Sheffield.;To show areas of Access Land in Sheffield.
DisRating;78;What do many Government documents emphasize regarding children and young people?;The importance of education;The significance of giving them a say in matters affecting their lives.
DisRating;89;When did the author resume the system of logic?;1837;1837
DisRating;48;What was the original character of the area described? ;Agricultural;Industrial
DisRating;133;What is the city's role in the country?;Agricultural hub and cultural centre ;Chief port, largest city, and commercial, political, and tourist centre 
DisRating;4;What prevented Lightning Bar from continuing his racing career?;Injuries and illnesses. ;Injuries and illnesses. 
DisRating;20;What recognition did JVL receive?;Awards from various international organizations. ;Awards from various international organizations. 
DisRating;101;What can we do if someone displeases us? ;Ignore them ;Stand aloof from them 
DisRating;35;"What is the density of the ""snowman"" model asteroid according to the study? ";1.8 ± 0.2 g/cm. ;1.8 ± 0.2 g/cm. 
DisRating;91;What process of thought does the speaker want to understand? ;Eating breakfast;Eating breakfast
DisRating;79;What happens if there is no response after the further 28 days? ;Right to buy application is closed.;Right to buy application is closed.
DisRating;98;What does the text suggest about interference? ;It's not justified for personal conduct.;It's not justified for personal conduct.
DisRating;86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Struggle between liberty and authority
DisRating;155;What is to the north of Lisbon's central commercial district?;The Cidade Baixa (Lower City;The Cidade Baixa (Lower City
DisRating;41;What was Samuel Holberry sentenced to prison for? ;Fraud;Sedition
DisRating;86;What is described as the most conspicuous feature of history? ;Struggle between liberty and authority;Struggle between liberty and authority
DisRating;37;What did Francois de la Boe Sylvius believe was the cause of cancer? ;Chemical processes and acidic lymph fluid.;Chemical processes and acidic lymph fluid.
DisRating;146;Why did the Spanish colonists name the city for the 'good winds'?;Because the winds brought them to the port ;Because the winds brought them to the port 
DisRating;135;Where are concerts regularly given? ;Tchaikovsky Conservatory ;Tchaikovsky Conservatory 
DisRating;100;What does the speaker suggest people might possibly do? ;Learn something from them ;Learn something from them 
DisRating;5;What additional benefit does the drug mentioned in the text provide to patients?;It extends the time before needing breathing assistance.;It extends the time before needing breathing assistance.
DisRating;91;What process of thought does the speaker want to understand? ;Decision making;Eating breakfast
DisRating;158;What happened to the city after the war? ;It was returned to the Dutch ;It was returned to the Dutch 
DisRating;109;What is the dilemma posed about sugar and wormwood? ;Their existence without the mind ;Their existence without the mind 
DisRating;84;What did the author know about existing society? ;It was in a deplorable state;It was in a deplorable state
DisRating;36;What was the immediate action taken against the individual mentioned in the text?;Immediate arrest;Immediate arrest
DisRating;9;Why do athletes, gymnasts, dancers, and martial artists perform stretching exercises?;To lengthen their ligaments and make their joints more supple.;To lengthen their ligaments and make their joints more supple.
DisRating;141;Where is Baghdad situated in Iraq? ;Near the center ;Near the center 
DisRating;85;What was the overall impression of the situation described? ;Discouraging;Discouraging
DisRating;97;How does the text describe the prohibition?;As religious persecution;As reasonable
DisRating;93;How did the speaker approach reading the text? ;With skepticism.;With neutrality.
DisRating;156;What is notable about some of the streets? ;They are wide and straight;They are so steep that they give way to stairs, cable cars, and even an elevator
DisRating;134;When did German forces enter the city after a fierce 80-day battle?;September 14, 1941 ;September 19, 1941
DisRating;144;Where did large demonstrations in favor of democracy take place in 1989?;Wenceslas Square ;Wenceslas Square 
DisRating;11;"What did Griffith identify as the ""transforming principle""? ";Protein ;DNA
DisRating;139;What is still vigorously alive in Kiev? ;Its ancient tradition as a cultural center ;Its ancient tradition as a cultural center 
DisRating;132;When did the Romans establish Aquincum? ;At the end of the 1st century AD ;At the end of the 1st century AD 
DisRating;148;What is the city's role in the country? ;A center for banking and insurance, a major tourist site, and a transportation hub ;A center for banking and insurance, a major tourist site, and a transportation hub 
DisRating;19;How do puppeteers control Muppets? ;One hand controls the head, and the other hand controls the arms.;One hand controls the head, and the other hand controls the arms.
DisRating;69;What was set up under the 1834 Poor Law Amendment Act? ;Institutions for the sick and infirm poor.;Institutions for the sick and infirm poor.
DisRating;99;What does the text suggest an idea can resemble? ;Emotions;Another idea
